C¢digo,Nivel,T°tulo,ComitÇ,Sector Productivo
EC1044,3,Desarrollo del proceso de producci¢n piloto en Tecnolog°a de Montaje Superficial,"Comercio, Industria y Servicios de Baja California",INDUSTRIAS MANUFACTURERAS
EC1045,2,Dise§o de cejas con efecto pelo a pelo con pigmento semipermanente/Microblading,C†mara Mexicana de la Industria del Embellecimiento F°sico,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC1046,3,Instalaci¢n de fuegos artificiales para la presentaci¢n de espect†culos aÇreos.,Pirotecnia,"SERVICIOS DE ESPARCIMIENTO CULTURALES Y DEPORTIVOS, Y OTROS SERVICIOS RECREATIVOS"
EC1047,2,Prestaci¢n de servicios para peinado de cabello,C†mara Mexicana de la Industria del Embellecimiento F°sico,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC1048,2,Aplicaci¢n de masaje con piedras calientes,Masajes y Servicios de SPA,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC1049,2,Aplicaci¢n de masaje de reflexoterapia podal,Masajes y Servicios de SPA,OTROS SERVICIOS EXCEPTO ACTIVIDADES GUBERNAMENTALES
EC1051,3,Conducci¢n de tracto cami¢n doblemente articulado en sus distintas configuraciones,Conductores de Autotransporte Federal y Transporte Privado,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
EC1052,3,"Ejecuci¢n del Procedimiento de Actuaci¢n del Primer Respondiente, Procesamiento de Indicios y Cadena de Custodia",Protocolos de Actuaci¢n de los Cuerpos Policiales del Estado de Puebla,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1053.01,3,Asesor°a en materia de Contralor°a Social en la Administraci¢n P£blica,Administraci¢n P£blica Federal,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1054,3,Apoyo en las acciones de protecci¢n civil en auxilio a la poblaci¢n,Guardia Nacional,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1055,2,Investigaci¢n de operaciones con recursos de procedencia il°cita,Guardia Nacional,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1056,1,"Facilitaci¢n para el conocimiento, uso y aprovechamiento del Derecho de acceso a la informaci¢n",Acceso a la Informaci¢n P£blica y Administraci¢n de Archivos P£blicos,"SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC1057,2,Garantizar el Derecho de Acceso a la Informaci¢n P£blica,Tutela de los Derechos de Acceso a la Informaci¢n P£blica y Protecci¢n de Datos Personales del Estado de MÇxico,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1058,4,Aplicaci¢n de las medidas de bioseguridad en la unidad de producci¢n agroalimentaria/acu°cola/pesquera,"Sector Rural (Agropecuario, pesquero, forestal, ambiental y de alimentaci¢n)","SERVICIOS PROFESIONALES, CIENT÷FICOS Y TêCNICOS"
EC1059,2,Atenci¢n con calidad en el servicio al ciudadano,SAGARPA,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1060,2,Implementaci¢n del Proceso de Administraci¢n de Riesgos,SAGARPA,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1061,2,Liderazgo efectivo en las organizaciones,SAGARPA,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1062,4,Operaci¢n del Programa de Fomento a la Productividad Pesquera y Acu°cola,SAGARPA,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1063,2,Operaci¢n de las disposiciones generales aplicables a las reglas de operaci¢n de los Programas de la SAGARPA,SAGARPA,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1064,4,Operaci¢n del Programa de apoyos a la Comercializaci¢n,SAGARPA,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
EC1065,4,Operaci¢n del Programa de Apoyo a Peque§os Productores,SAGARPA,"ACTIVIDADES LEGISLATIVAS, GUBERNAMENTALES, DE IMPARTICI‡N DE JUSTICIA Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES"
