444,CCFE0661.01,Mantenimiento eléctrico de equipos de generación de energía eléctrica
445,CCFE0670.01,Mantenimiento del sistema de control supervisorio y adquisición de datos en tiempo real de un centro de control de energía
446,CCFE0671.01,Evaluación de la operación del sistema eléctrico de potencia
447,CCHO0267.01,Recubrimiento de productos con chocolate o sustitutos, y confites
448,CCHO0268.01,Elaboración de productos de chocolate o confitería, a partir de derivados del cacao o grasas sustitutas
449,CCHO0323.01,Elaboración de caramelos y goma de mascar
450,CCHO0324.01,Elaboración de productos de chocolate y confitería por formado manual corte o troquelado
451,CCHO0350.01,Obtención de derivados del cacao a partir del grano
452,CCHO0351.01,Elaboración de productos de confitería por moldeo mecánico
453,CCHO0369.01,Elaboración de productos de chocolate y similares por moldeo o depositado mecánico
454,CCHO0531.01,Envoltura, envasado y empaque de productos de chocolate, similares y confitería
455,CCLZ0013.02,Supervisión de procesos de producción
456,CCLZ0021.01,Control y supervisión de la producción del producto (Calzado Nivel Dos)
457,CCLZ0049.02,Ejecución del corte del calzado
458,CCLZ0050.02,Pespunte del corte del calzado
459,CCLZ0097.01,Planeación y programación de la fabricación del producto
460,CCLZ0098.01,Coordinación de la elaboración de muestrarios
461,CCLZ0150.01,Diseño y rediseño de conceptos y del calzado
462,CCLZ0151.01,Desarrollo de los componentes del calzado
463,CCLZ0425.01,Esmerilado de la piel
464,CCLZ0430.01,Planeación del trabajo en procesos de producción
465,CCLZ0636.01,Terminado del calzado
466,CCLZ0637.01,Montado de calzado
467,CCLZ0638.01,Ensuelado de calzado
468,CCNS0068.02,Construcción de muros de piedra y/o piezas regulares
469,CCNS0069.02,Armado de elementos estructurales con acero de refuerzo
470,CCNS0070.02,Cimbrado de elementos estructurales
471,CCNS0071.02,Colado de elementos de concreto
472,CCNS0091.01,Instalación de refractarios en coquizadora
473,CCNS0114.01,Realización de estudio geotécnico
474,CCNS0115.01,Análisis de suelos y rocas
475,CCNS0158.02,Instalación del sistema eléctrico
476,CCNS0160.02,Instalación y reparación de los sistemas hidráulico y sanitario
477,CCNS0161.02,Instalación del sistema de gas
478,CCNS0218.02,Análisis de precios unitarios
479,CCNS0221.01,Elaboración de estructuras de acero para depósito y almacenamiento.
480,CCNS0313.01,Aplicación de recubrimientos de pintura, pasta y grano
481,CCNS0316.01,Coordinación de maniobras de izaje de cargas
482,CCNS0353.02,Colocación de recubrimiento de cerámica
483,CCNS0380.02,Instalación para el aprovechamiento del gas natural para consumos hasta 170,000 kj/h
484,CCNS0405.01,Operación del tractor Bulldozer
485,CCNS0406.02,Operación de la retroexcavadora-cargadora
486,CCNS0429.01,Construcción de pavimentos asfálticos
487,CCNS0456.01,Impermeabilización de losas y techumbres
488,CCNS0499.01,Toma de muestras de concreto
489,CCNS0526.01,Determinación de propiedades mecánicas del concreto endurecido
490,CCNS0541.01,Instalación y mantenimiento de sistemas de comunicación
491,CCNS0543.01,Instalación de sistemas de placas de yeso con cartoncillo (SPYC)
492,CCNS0544.01,Determinación de propiedades de los agregados para concreto hidráulico
493,CCNS0587.01,Determinación especializada de propiedades del concreto
494,CCNS0667.01,Supervisión de obras de edificación con concreto hidráulico hasta cuatro niveles
495,CCOM0026.01,Compra de mercancías para ventas al menudeo Nivel 3
496,CCOM0028.02,Venta de mercancías en mostrador al menudeo
497,CCOM0034.01,Compra de mercancías para ventas al menudeo Nivel 2
498,CCOM0046.02,Dispensación y manejo de medicamentos en farmacias
499,CCOM0075.01,Almacenaje de mercancías en comercio al menudeo
500,CCOM0076.01,Venta de productos de ferretería en comercio al menudeo
501,CCOM0146.01,Administración de pequeños establecimientos de comercio al detalle
502,CCOM0305.01,Venta de mercancías en tiendas departamentales
503,CCOM0306.01,Registro y cobro de transacciones en comercio al detalle
504,CCOM0377.01,Procesamiento de efectivo y documentos
505,CCOM0390.02,Servicios de atención telefónica y telemercadeo
506,CCOM0444.01,Supervisión del punto de venta
507,CCOM0471.01,Promoción y venta de productos
508,CCON0085.02,Implantación y evaluación de nuevos sistemas
509,CCON0147.03,Consultoría general
510,CCON0148.02,Diseño y evaluación de sistemas
511,CCON0219.01,Diagnóstico de empresas micro, pequeñas y medianas — Operaciones
512,CCON0220.01,Diagnóstico de empresas micro, pequeñas y medianas — Capital Humano y Dirección Estratégica
513,CCON0396.02,Ventas consultivas
514,CCON0398.01,Asesoría general en metrología
515,CCON0416.01,Consultoría en imagen pública
516,CCON0480.01,Asesoría especializada en metrología de temperatura
517,CCON0507.01,Coordinación del proceso de elaboración de un Plan Estratégico
518,CCON0657.01,Detección de áreas de oportunidad y mejoras de PyMEs
519,CCPC0567.01,Servicios de cuidados faciales y corporales
520,CCPC0586.01,Maquillaje del rostro del cliente
521,CCPC0600.01,Cuidado de manos y pies
522,CCRJ0439.01,Servicios básicos de cerrajería
523,CDEN0197.02,Elaboración de prótesis dental removible
524,CDEN0198.02,Elaboración de prótesis dental fija
525,CDEN0280.01,Elaboración de aparatos de ortodoncia y ortopedia dental
526,CDEN0308.01,Preparación de modelos dentales y modelado en materiales calcinables
527,CELE0290.01,Gestión de la producción
528,CELE0311.01,Ensamble de componentes y productos electrónicos
529,CELE0328.01,Mantenimiento de equipo y maquinaria electrónica
530,CELE0408.01,Operación de equipo automático de tecnología de montaje superficial
531,CELE0522.01,Ensamble de equipos mecatrónicos
532,CELE0523.01,Reparación de ensambles eléctricos y electrónicos
533,CELE0524.01,Producción de componentes de equipos mecatrónicos
534,CELE0525.01,Verificación de equipos mecatrónicos y sus componentes
535,CFAM0254.01,Constitución de figuras asociativas con unidades económicas familiares rurales
536,CFAM0378.01,Elaboración del programa de desarrollo de la empresa familiar rural
537,CFAM0379.01,Dirección de la empresa familiar rural
538,CFAM0513.01,Proyección del desarrollo sustentable y sostenible de la empresa familiar rural
539,CFER0005.02,Despacho y control de trenes
540,CFER0022.01,Operación y manejo de trenes en camino
541,CFER0108.01,Formación de trenes
542,CFER0134.01,Coordinación y supervisión del tren, equipo tractivo y unidades de arrastre
543,CFER0277.01,Coordinación y supervisión del despacho y control de trenes
544,CFER0374.01,Apoyo al mantenimiento de vía
545,CFOR0057.02,Obtención de madera aserrada
546,CFOR0058.02,Producción de plantas
547,CFOR0059.01,Dimensionado de madera
548,CFOR0060.01,Diseño e implementación de inventario de recursos forestales
549,CFOR0061.02,Derribo direccional de árboles
550,CFOR0078.01,Elaboración de Programas de Manejo Forestal
551,CFOR0079.01,Planeación y establecimiento de infraestructura para propagación de plantas
552,CFOR0109.01,Programación y capacitación sobre plagas, enfermedades e incendios forestales
553,CFOR0110.01,Obtención de germoplasma y capacitación a personal operativo
